program id	program name	activityid	activityname	activity mediaType	activity channel	tagid/ Code	tagName	tag purpose	tagURL	tag full url	Creative File Name	Subject Line	Preheader	Deployment Date (If multiple waves)	Sender Name	250 OK
P17114	CSBU FY18 Q2 CC Winback March - APAC	A198574	Email 2 All Apps  Lapsed 0-180 (Cancelled / Returned / Past Due / NA) - Singapore, India, SEA	Email	Internal - Existing customers or Prospects	X2PHHYXB	Link in Text/Image/CTA		https://commerce.adobe.com/anyware/checkout/?clientId=creative&countryCode=AU&languageCode=en&marketSegment=COM&items%5B0%5D%5BofferId%5D=16BDA5871A0ABC3001E997DE2343A419&items%5B0%5D%5Bcs%5D=0&landscape=prod&trackingid=%3C%=getTagId(%27CTA%27)%%3E&mv=email	https://commerce.adobe.com/anyware/checkout/?trackingid=X2PHHYXB&clientId=creative&countryCode=AU&languageCode=en&marketSegment=COM&items%5b0%5d%5bofferId%5d=16BDA5871A0ABC3001E997DE2343A419&items%5b0%5d%5bcs%5d=0&landscape=prod&mv=email&mv=email	98908_20180828_UK_EM1			08/28/2018		
P17114	CSBU FY18 Q2 CC Winback March - APAC	A198585	Email 2 All Apps  Lapsed 61-180 (Cancelled / Returned / Past Due / NA) - AU, NZ	Email	Internal - Existing customers or Prospects	WXYGJ3NC	Link in Text/Image/CTA		https://commerce.adobe.com/anyware/checkout/?clientId=creative&countryCode=AU&languageCode=en&marketSegment=COM&items%5B0%5D%5BofferId%5D=16BDA5871A0ABC3001E997DE2343A419&items%5B0%5D%5Bcs%5D=0&landscape=prod&trackingid=%3C%=getTagId(%27CTA%27)%%3E&mv=email	https://commerce.adobe.com/anyware/checkout/?trackingid=WXYGJ3NC&clientId=creative&countryCode=AU&languageCode=en&marketSegment=COM&items%5b0%5d%5bofferId%5d=16BDA5871A0ABC3001E997DE2343A419&items%5b0%5d%5bcs%5d=0&landscape=prod&mv=email&mv=email	98908_20180828_UK_EM1			08/28/2018		
P17114	CSBU FY18 Q2 CC Winback March - APAC	A198586	Email 2 All Apps  Lapsed 61-180 (Cancelled / Returned / Past Due / NA) - KR	Email	Internal - Existing customers or Prospects	XT3PH7J4	Link in Text/Image/CTA		https://commerce.adobe.com/anyware/checkout/?clientId=creative&countryCode=US&languageCode=ko&marketSegment=COM&items%5B0%5D%5BofferId%5D=16BDA5871A0ABC3001E997DE2343A419&items%5B0%5D%5Bcs%5D=0&landscape=prod&trackingid=%3C%=getTagId(%27CTA%27)%%3E&mv=email	https://commerce.adobe.com/anyware/checkout/?trackingid=XT3PH7J4&clientId=creative&countryCode=US&languageCode=ko&marketSegment=COM&items%5b0%5d%5bofferId%5d=16BDA5871A0ABC3001E997DE2343A419&items%5b0%5d%5bcs%5d=0&landscape=prod&mv=email&mv=email	98908_20180828_NA_EM2			08/28/2018		
P17114	CSBU FY18 Q2 CC Winback March - APAC	A198567	Email 2 CCPp Lapsed 0-180 (Cancelled / Returned / Past Due / NA)  - Singapore, India, SEA	Email	Internal - Existing customers or Prospects	RBS7NPTL	Link in Text/Image/CTA		https://commerce.adobe.com/anyware/checkout/?clientId=creative&countryCode=AU&languageCode=en&marketSegment=COM&items%5B0%5D%5BofferId%5D=08823B2E8361CE018F9A2C51CF489283&returnUrl=https%3A%2F%2Fcreative.adobe.com%2Fen%2Fstarter%2Fcommon%3ForderId%3D%7B%7BorderId%7D%7D%26workflow%3D%7B%7Bworkflow%7D%7D&landscape=prod	https://commerce.adobe.com/anyware/checkout/?clientId=creative&countryCode=AU&languageCode=en&marketSegment=COM&items%5B0%5D%5BofferId%5D=08823B2E8361CE018F9A2C51CF489283&returnUrl=https%3A%2F%2Fcreative.adobe.com%2Fen%2Fstarter%2Fcommon%3ForderId%3D%7B%7BorderId%7D%7D%26workflow%3D%7B%7Bworkflow%7D%7D&landscape=prod&trackingid=RBS7NPTL&mv=email	98908_20180828_UK_EM3			08/28/2018		
P17114	CSBU FY18 Q2 CC Winback March - APAC	A198576	Email 2 CCPp Lapsed 61-180 (Cancelled / Returned / Past Due / NA)  - AU, NZ	Email	Internal - Existing customers or Prospects	TTGWL74X	Link in Text/Image/CTA		https://commerce.adobe.com/anyware/checkout/?clientId=creative&countryCode=AU&languageCode=en&marketSegment=COM&items%5B0%5D%5BofferId%5D=08823B2E8361CE018F9A2C51CF489283&returnUrl=https%3A%2F%2Fcreative.adobe.com%2Fen%2Fstarter%2Fcommon%3ForderId%3D%7B%7BorderId%7D%7D%26workflow%3D%7B%7Bworkflow%7D%7D&landscape=prod	https://commerce.adobe.com/anyware/checkout/?clientId=creative&countryCode=AU&languageCode=en&marketSegment=COM&items%5B0%5D%5BofferId%5D=08823B2E8361CE018F9A2C51CF489283&returnUrl=https%3A%2F%2Fcreative.adobe.com%2Fen%2Fstarter%2Fcommon%3ForderId%3D%7B%7BorderId%7D%7D%26workflow%3D%7B%7Bworkflow%7D%7D&landscape=prod&trackingid=TTGWL74X&mv=email	98908_20180828_UK_EM3			08/28/2018		
P17114	CSBU FY18 Q2 CC Winback March - APAC	A198587	Email 2 CCPp Lapsed 61-180 (Cancelled / Returned / Past Due / NA)  - KR	Email	Internal - Existing customers or Prospects	XFWLHLQ7	Link in Text/Image/CTA		https://commerce.adobe.com/anyware/checkout/?clientId=creative&countryCode=US&languageCode=ko&marketSegment=COM&items%5B0%5D%5BofferId%5D=08823B2E8361CE018F9A2C51CF489283&returnUrl=https%3A%2F%2Fcreative.adobe.com%2Fen%2Fstarter%2Fcommon%3ForderId%3D%7B%7BorderId%7D%7D%26workflow%3D%7B%7Bworkflow%7D%7D&landscape=prod	https://commerce.adobe.com/anyware/checkout/?clientId=creative&countryCode=US&languageCode=ko&marketSegment=COM&items%5B0%5D%5BofferId%5D=08823B2E8361CE018F9A2C51CF489283&returnUrl=https%3A%2F%2Fcreative.adobe.com%2Fen%2Fstarter%2Fcommon%3ForderId%3D%7B%7BorderId%7D%7D%26workflow%3D%7B%7Bworkflow%7D%7D&landscape=prod&trackingid=XFWLHLQ7&mv=email	98908_20180828_NA_EM4			08/28/2018		
P17114	CSBU FY18 Q2 CC Winback March - APAC	A198584	Email 2 Education Lapsed 0-180 (Cancelled / Returned / Past Due / NA) - Singapore, India, SEA	Email	Internal - Existing customers or Prospects	WKRCJGVG	CTA		https://commerce.adobe.com/anyware/checkout/?clientId=creative&countryCode=AU&languageCode=en&marketSegment=EDU&items%5B0%5D%5BofferId%5D=4D61E3F859D8EA6F8B6214043207846B&items%5B0%5D%5Bcs%5D=0&returnUrl=https%3A%2F%2Fcreative.adobe.com%2Fen%2Fstarter%2Fcommon%3ForderId%3D%7B%7BorderId%7D%7D%26workflow%3D%7B%7Bworkflow%7D%7D&landscape=prod	https://commerce.adobe.com/anyware/checkout/?clientId=creative&countryCode=AU&languageCode=en&marketSegment=EDU&items%5B0%5D%5BofferId%5D=4D61E3F859D8EA6F8B6214043207846B&items%5B0%5D%5Bcs%5D=0&returnUrl=https%3A%2F%2Fcreative.adobe.com%2Fen%2Fstarter%2Fcommon%3ForderId%3D%7B%7BorderId%7D%7D%26workflow%3D%7B%7Bworkflow%7D%7D&landscape=prod&trackingid=WKRCJGVG&mv=email	98908_20180828_UK_EM5			08/28/2018		
P17114	CSBU FY18 Q2 CC Winback March - APAC	A198584	Email 2 Education Lapsed 0-180 (Cancelled / Returned / Past Due / NA) - Singapore, India, SEA	Email	Internal - Existing customers or Prospects	XB5KHQG8	Link in Text		https://www.adobe.com/au/creativecloud/renew/resubscribe-promo-ste.html?trackingid=%3C%=getTagId(%27CTA%27)%%3E&mv=email	https://www.adobe.com/au/creativecloud/renew/resubscribe-promo-ste.html?trackingid=XB5KHQG8&mv=email&mv=email	98908_20180828_UK_EM5			08/28/2018		
P17114	CSBU FY18 Q2 CC Winback March - APAC	A198591	Email 2 Education Lapsed 61-180 (Cancelled / Returned / Past Due / NA) - AU, NZ	Email	Internal - Existing customers or Prospects	Y69SGVB1	CTA		https://commerce.adobe.com/anyware/checkout/?clientId=creative&countryCode=AU&languageCode=en&marketSegment=EDU&items%5B0%5D%5BofferId%5D=4D61E3F859D8EA6F8B6214043207846B&items%5B0%5D%5Bcs%5D=0&returnUrl=https%3A%2F%2Fcreative.adobe.com%2Fen%2Fstarter%2Fcommon%3ForderId%3D%7B%7BorderId%7D%7D%26workflow%3D%7B%7Bworkflow%7D%7D&landscape=prod	https://commerce.adobe.com/anyware/checkout/?clientId=creative&countryCode=AU&languageCode=en&marketSegment=EDU&items%5B0%5D%5BofferId%5D=4D61E3F859D8EA6F8B6214043207846B&items%5B0%5D%5Bcs%5D=0&returnUrl=https%3A%2F%2Fcreative.adobe.com%2Fen%2Fstarter%2Fcommon%3ForderId%3D%7B%7BorderId%7D%7D%26workflow%3D%7B%7Bworkflow%7D%7D&landscape=prod&trackingid=Y69SGVB1&mv=email	98908_20180828_UK_EM5			08/28/2018		
P17114	CSBU FY18 Q2 CC Winback March - APAC	A198591	Email 2 Education Lapsed 61-180 (Cancelled / Returned / Past Due / NA) - AU, NZ	Email	Internal - Existing customers or Prospects	YB1TGQKZ	Link in Text		https://www.adobe.com/au/creativecloud/renew/resubscribe-promo-ste.html?trackingid=%3C%25=getTagId(%27CTA%27)%25%3E&mv=email	https://www.adobe.com/au/creativecloud/renew/resubscribe-promo-ste.html?trackingid=YB1TGQKZ&mv=email&mv=email	98908_20180828_UK_EM5			08/28/2018		
